sample_index,host,host_fold,natoms,target_eV,residual_schnet_add_eV,residual_schnet_mean_eV,residual_dart_repaired_eV
0,SnS2,0,28,4.801365439999993,2.0061051995467185,0.28661443302144995,-0.7743413298417092
1,WS2,4,49,2.0896895974999854,1.5387840817246645,3.401810382790745,-0.07746138673287506
2,MoS2,2,49,6.043423804999988,-1.8699554536358525,-2.551031821331979,-0.08370700812498821
4,WTe2,1,28,3.2260638650000035,0.6534672006229618,-0.3752337868750035,-1.6459955151617467
5,MoSe2,4,49,4.2163123349999685,0.14071630829023363,-0.6025465389743743,0.01389192932294847
6,WTe2,1,28,4.2114044050000015,-0.5686483402671318,-1.25592327312846,-1.2570828616243506
7,MoS2,2,49,1.0672336199999883,1.0548577528078324,2.4235805095115266,-0.09270196945677545
8,MoTe2,2,28,4.308469094999996,1.4177734472668497,-1.5072427969856732,0.06641185465617294
9,WTe2,1,28,0.1673702150000045,2.6807337850915482,2.7083287488010614,0.9239575714456132
10,SnS2,0,28,1.8610952650000008,5.094661558221842,2.7058847790470373,0.5122083868096916
11,MoTe2,2,28,2.8542523049999966,2.857453220716149,-0.03804728028075832,0.00810483458740574
12,MoSe2,4,49,0.8601984549999802,0.7228374511559239,0.8900522023995152,-0.008501407448507137
13,MoS2,2,49,2.3606605324999785,0.5941695179684663,1.135701835765809,-0.1048184031105337
14,NbS2,3,28,1.1171428375000083,2.8618929373667314,1.3382712987508056,1.4657105592335937
15,SnS2,0,28,3.1086509999999947,4.704427244527186,3.8609307629496312,0.6472942851613417
16,MoSe2,4,49,0.7582789600000082,0.26797068714049477,0.8767467796697916,-0.0213100453322429
17,WTe2,1,28,4.030844462500008,1.312729187224316,-1.173752717759204,-0.5714453981180907
18,SnS2,0,28,3.5400331999999946,4.49062901872966,3.0194464339670875,0.8767858956115777
19,MoSe2,4,49,5.438562150000001,-0.8476307344421397,-1.4163257233286553,-0.10131398359782029
20,NbS2,3,28,-0.0135642337499999,3.3022250381806435,2.4830794381796264,0.6507076867122396
21,NbSe2,2,28,8.288310070000014,-1.4767696253080382,-6.104784666659356,-1.5667681884387346
22,WS2,4,49,3.6064450574999833,1.4063380725099854,1.9931240247601485,-0.15452486605304339
23,WTe2,1,28,2.246647777500017,1.589790242570377,0.6120328681247793,-0.37624786530163257
24,SnS2,0,28,4.951312599999996,1.719513358251957,1.0745523190266963,-1.0860837881001753
25,WSe2,3,49,2.7886018849999976,2.3804339470872016,-0.20065984105977153,-0.36680333789102937
26,WS2,4,49,9.3448726,-1.2842103304077153,-0.9503675760437016,-0.6555990836629242
27,SnS2,0,28,-0.6758496400000087,4.422688964633289,4.460771365591032,0.5777200496476323
28,NbSe2,2,28,3.412059169999996,2.1884021540559933,-1.19675797421956,0.6601950109082071
29,MoS2,2,49,5.810359127499978,-1.1926043502274357,-2.3624028833491804,0.2712998716251853
30,WTe2,1,28,2.402356442500007,0.9547831449023367,0.4668914708605887,-0.7321021722643095
31,MoTe2,2,28,2.71409145500002,1.9860802540606488,0.08598852648598232,0.09464804822467077
32,SnS2,0,28,10.86908782,5.5966472975944015,-0.28422447517171356,-0.2673037496671551
33,MoS2,2,49,1.2367338433333317,1.7737768397263607,2.2520895705155453,0.05865406051595223
34,NbSe2,2,28,0.972651794999992,3.5003829047579016,1.208770120690112,1.1523706958193034
35,WSe2,3,49,0.0902796099999545,3.581704108872116,2.482240328151087,-0.6442476422010858
36,WS2,4,49,1.1988745550000317,1.560862221351897,4.686791974337534,0.0939012746330452
37,WS2,4,49,9.053654394999992,-2.3041350468554604,-0.37786893293842816,-1.6461855992236245
38,WSe2,3,49,2.8716773149999915,2.172390187021798,-0.31835229770669704,-0.32162419534056763
39,MoS2,2,49,19.56350179499996,-11.204536398118858,-16.223025997346763,-3.5208963949145122
40,WSe2,3,49,3.6584432949999535,1.6945468554517067,-1.082258545396682,-0.312953157263951
41,MoSe2,4,49,1.8031626149999889,0.9436311319482533,0.9581850762180693,0.07308657914521377
42,WTe2,1,28,0.6249471450000132,2.813592042113431,2.1905481076092395,-0.3065504972288137
43,MoSe2,4,49,1.2766474249999762,0.37259608874310657,0.6869330641586542,-0.12534357736915758
44,NbS2,3,28,12.194066054999984,-3.7500273459952638,-9.129239089667953,-0.9498561296663262
45,WTe2,1,28,5.783479289999994,-3.7867050933752378,-2.8203277556015967,0.8184433810001694
46,SnS2,0,28,2.1821784350000004,4.8820267346777335,3.853942297625325,0.9440069027024327
47,WTe2,1,28,3.27616716750002,1.69378756158018,-0.417510602151713,0.05996051105324307
48,MoSe2,4,49,0.3363265950000027,0.8720754028841118,1.5490777136369804,-0.02673712954081492
49,MoS2,2,49,2.9091969849999737,0.3763203102016459,0.5887085077826191,0.09592917339642915
50,SnS2,0,28,-0.2609889550000028,4.573397879102786,4.366818074682315,0.3334136846651232
51,WSe2,3,49,3.636123819999967,1.6173881651430584,-1.0951526203285398,-0.6652616698077063
52,MoTe2,2,28,5.207470777500017,0.36459982110227784,-2.394750240314348,-0.07183476574057668
53,WS2,4,49,7.260247569999995,1.587665854173995,1.2312894446433553,0.1783710899731492
54,MoS2,2,49,2.222274750000002,0.6770273749771096,1.2674201632283508,-0.165719359642031
55,WSe2,3,49,7.100990239999982,-0.6373807035111314,-4.5209970714870025,-0.3763274592382633
56,NbS2,3,28,2.936797249999996,1.7201401107635537,-0.29008661576842876,0.2551595879720092
57,MoSe2,4,49,3.0147438349999964,0.1668165224117062,-0.04139505850056624,-0.052252640592851396
58,MoS2,2,49,5.0787617250000014,1.077966701615396,-1.689053682855226,0.18155560059203957
59,MoSe2,4,49,10.278102334999993,-2.524676418964023,-4.6333522167443775,-0.11856343017414694
61,MoS2,2,49,5.214342887500006,-1.63860783507335,-1.727870916623948,0.10873765220336296
62,NbSe2,2,28,2.242971852499985,2.680682942193008,-0.07296629257872045,0.7747062493575183
63,WTe2,1,28,2.62815827,1.4543018950238036,0.2367970757895912,-0.4146861420855714
64,NbS2,3,28,1.2398027749999858,2.5538469779347883,1.2328587996816143,0.2574445235585672
65,SnS2,0,28,2.402539244999998,3.1284926814729834,1.918877927749839,-0.7488496618573997
66,MoTe2,2,28,2.4370977500000075,3.108377415049228,0.3853121977132088,-0.051304620396939615
