host,dopant,dopant_Z,dopant_period,n_sites,true_preference,predicted_preference,preference_eligible,preference_correct,true_margin_eV,predicted_margin_eV,margin_absolute_error_eV,true_global_best,n_tied_true_global_best_sites,predicted_global_best,global_site_correct,global_uniform_exact_expectation,global_screening_regret_eV,majority_preference_correct,preference_gain_over_majority,global_exact_gain_over_uniform
As2,Ag,47,5,4,adsorbate,adsorbate,1,1,2.256500849999995,3.398613452911377,1.1421126029113822,adsorbate:ads2,1,adsorbate:ads2,1,0.25,0.0,1,0,0.75
As2,Al,13,3,4,adsorbate,adsorbate,1,1,1.9435646299999976,1.7225923538208008,0.2209722761791968,adsorbate:ads2,1,adsorbate:ads2,1,0.25,0.0,1,0,0.75
As2,Au,79,6,4,adsorbate,adsorbate,1,1,1.8303445399999982,2.116934895515442,0.28659035551544365,adsorbate:ads2,1,adsorbate:ads2,1,0.25,0.0,1,0,0.75
As2,B,5,2,5,adsorbate,interstitial,1,0,1.080271210000006,-0.05411982536315918,1.1343910353631652,adsorbate:ads2,1,interstitial:int1,0,0.2,1.080271210000006,1,-1,-0.2
As2,Ba,56,6,4,adsorbate,adsorbate,1,1,0.806667570000002,0.47998881340026855,0.32667875659973344,adsorbate:ads1,1,adsorbate:ads1,1,0.25,0.0,1,0,0.75
As2,Be,4,2,5,adsorbate,adsorbate,1,1,1.8497335999999929,0.36151862144470215,1.4882149785552907,adsorbate:ads1,1,adsorbate:ads2,0,0.2,0.5289901499999985,1,0,-0.2
As2,C,6,2,5,adsorbate,adsorbate,1,1,1.1581801699999943,0.10948991775512695,1.0486902522448673,adsorbate:ads1,1,adsorbate:ads1,1,0.2,0.0,1,0,0.8
As2,Ca,20,4,4,adsorbate,adsorbate,1,1,3.6351497600000044,4.6113972663879395,0.976247506387935,adsorbate:ads1,1,adsorbate:ads1,1,0.25,0.0,1,0,0.75
As2,Cd,48,5,4,adsorbate,adsorbate,1,1,4.681915230000001,4.161467432975769,0.5204477970242323,adsorbate:ads2,1,adsorbate:ads1,0,0.25,0.2174109899999906,1,0,-0.25
As2,Cl,17,3,4,adsorbate,adsorbate,1,1,4.768567119999999,5.072628736495972,0.3040616164959724,adsorbate:ads2,1,adsorbate:ads1,0,0.25,0.2599469999999967,1,0,-0.25
As2,Co,27,4,3,interstitial,interstitial,1,1,-1.5361832799999888,-1.1900584697723389,0.34612481022764996,interstitial:int1,1,interstitial:int1,1,0.3333333333333333,0.0,0,1,0.6666666666666667
As2,Cr,24,4,4,interstitial,adsorbate,1,0,-0.6290403999999938,0.2063138484954834,0.8353542484954772,interstitial:int1,1,adsorbate:ads2,0,0.25,0.6290403999999938,0,0,-0.25
